town,lat,lon
Zürich, 47.3781008, 8.5393635
Uster, 47.3509070, 8.7174490
Pfäffikon, 47.36695958386192,8.784636453588451
Hinwil, 47.2992714, 8.8407374
Dietikon, 47.4056717, 8.4044162
Affoltern, 47.4209007, 8.5081772
Horgen, 47.2615162, 8.5960290
Meilen, 47.2694708, 8.6446307
Dielsdorf, 47.4830472, 8.4588368
Bülach, 47.5228326, 8.5382330
Andelfingen, 47.5939105, 8.6779861
Winterthur, 47.5003138, 8.7239736
Walchwil, 47.0986310, 8.5168052
Baar, 47.1952522, 8.5237840
Zug, 47.1741189, 8.5148832
Steinhausen, 47.1947520, 8.4785712
Cham, 47.1780756, 8.4567128
Rotkreuz, 47.1418316, 8.4314868
Baden, 47.4782232, 8.3083289
Brugg, 47.4811271, 8.2089399
Zurzach, 47.5882818, 8.2955260
Laufenburg, 47.5593992, 8.0603727
Rheinfelden, 47.5513272, 7.7920887
Scuol, 46.7933726, 10.2859654
Klosters, 46.8680634, 9.8808741
Davos, 46.8096654, 9.8419690
Tiefencastel, 46.6637200, 9.5729900
Thusis, 46.6982141, 9.4402728
Domat/Ems, 46.8334600, 9.4534300
Chur, 46.8544500, 9.5294400
Landquart, 46.9676207, 9.5548270
Celerina, 46.5138253, 9.8584334
Samedan, 46.5336888, 9.8744764
Poschiavo, 46.3246452, 10.0545003
Reichenau-Tamins, 46.8238578, 9.4128040
Ilanz, 46.7753249, 9.2068887
