Didok number;stopname;Datum;Feiertag;Wochentag;National;Servicetyp;Servicename;closed;From 1;until1;From 1;until2;From 1;until3;Company;OPUIC;Stop name;Station abbreviation;lod;Geopos;transport company;Weather;Postal code
10;Basel SBB;;Bundesfeiertag;01-01-04;1;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-09;Auffahrt;01-01-04;1;1000;Geldwechsel;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Tag der Arbeit;01-01-03;1;1000;Geldwechsel;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-31;Ostern;01-01-07;1;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-29;Karfreitag;01-01-05;1;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-19;Pfingsten;01-01-07;1;1100;Western Union;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-09;Auffahrt;01-01-04;1;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-09;Auffahrt;01-01-04;1;2116;InfoPoint;;08:00;21:30;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Tag der Arbeit;01-01-03;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Ostermontag;;1;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-31;Ostern;01-01-07;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-29;Karfreitag;01-01-05;1;1100;Western Union;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Bundesfeiertag;01-01-04;1;1100;Western Union;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-20;Pfingstmontag;;1;2116;InfoPoint;;08:00;21:30;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-19;Pfingsten;01-01-07;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-19;Pfingsten;01-01-07;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-09;Auffahrt;01-01-04;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Tag der Arbeit;01-01-03;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Ostermontag;;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Ostermontag;;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Ostermontag;;1;1000;Geldwechsel;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-31;Ostern;01-01-07;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-31;Ostern;01-01-07;1;1100;Western Union;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Bundesfeiertag;01-01-04;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;;Bundesfeiertag;01-01-04;1;2116;InfoPoint;;08:00;21:30;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-20;Pfingstmontag;;1;500;Gepäck;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-20;Pfingstmontag;;1;900;Fundservice;;09:00;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Basel SBB;01-01-19;Pfingsten;01-01-07;1;1000;Geldwechsel;;09:30;18:00;;;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501, 7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
