town,bezirk,lat,lon
Zürich,Zürich,47.37333184,8.53749785
Uster,Uster,47.351058,8.717541
Pfäffikon,Pfäffikon,47.36695958386192,8.784636453588451
Hinwil,Hinwil,47.30009637564397, 8.83980679402426
Dietikon,Dietikon,47.405790558501735, 8.404752993896839
Affoltern,Affoltern,47.27585998798776, 8.446533804647505
Horgen,Horgen,47.261254528370316, 8.596376675152966
Meilen,Meilen,47.26954436507564, 8.644364899814175
Dielsdorf,Dielsdorf,47.482375481932245, 8.459301892308805
Bülach,Bülach,47.52397628782732, 8.536343263025337
Andelfingen,Andelfingen,47.59384986909524, 8.677504364882918
Winterthur,Winterthur,47.50011626301055, 8.72364575109582
Walchwil,Walchwil,47.09858855082194, 8.516936689322916
Unterägeri,Unterägeri,47.138882, 8.58472
Steinhausen,Steinhausen,47.19447728777387, 8.47851684437689
Rotkreuz,Rotkreuz,47.141821, 8.430431
Oberägeri,Oberägeri, 47.136104, 8.613887
Neuheim,Neuheim, 47.2040079658053, 8.576114109863205
Menzingen,Menzingen, 47.180553, 8.591669
Hünenberg,Hünenberg, 47.176386, 8.426394
Cham,Cham, 47.178160, 8.457155
Zug,Zug,47.17360048159954, 8.515492800947538
Baar,Baar, 47.19536403756796, 8.52327153738925
Baden,Baden,47.47637022488997, 8.307531537744289
Brugg,Brugg, 47.4803987234013, 8.208721405117721
Zurzach,Zurzach, 47.587683344554236, 8.296042709023087
Laufenburg,Laufenburg,47.55974148864278, 8.061161672987033
Rheinfelden,Rheinfelden, 47.55110314240611, 7.791748094533863
Scuol,Engiadina Bassa/Val Müstair, 46.7933726, 10.2859654
Klosters,Prättigau/Davos, 46.8680634, 9.8808741
Davos,Prättigau/Davos,46.8096654,9.8419690
Tiefencastel,Albula,46.6637200,9.5729900
Thusis,Viamala,46.6982141,9.4402728
Domat/Ems,Imboden,46.8334600,9.4534300
Chur,Plessur,46.8544500,9.5294400
Landquart,Landquart,46.9676207,9.5548270
Celerina,Maloja,46.5138253,9.8584334
Samedan,Maloja,46.5336888,9.8744764
Poschiavo,Bernina,46.3246452,10.0545003
Reichenau-Tamins,Imboden,46.8238578,9.4128040
Ilanz,Surselva,46.7753249,9.2068887
